date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:07	15091/15091	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/index.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/index.html	(from )
23:01:07	177/177	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Feb%202023%2016:39:33%20GMT	http://zoyothemes.com/robots.txt		(from )
23:01:08	99678/99678	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2010%20Jul%202017%2005:14:15%20GMT	http://zoyothemes.com/eagle/images/favicon.ico	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/favicon.ico	(from http://zoyothemes.com/eagle/index.html)
23:01:08	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/css/bootstrap.min.css	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/css/bootstrap.min.css	(from http://zoyothemes.com/eagle/index.html)
23:01:09	82102/82102	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:14:15%20GMT	http://zoyothemes.com/eagle/css/materialdesignicons.min.css	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/css/materialdesignicons.min.css	(from http://zoyothemes.com/eagle/index.html)
23:01:09	9742/9742	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:14:15%20GMT	http://zoyothemes.com/eagle/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/css/pe-icon-7-stroke.css	(from http://zoyothemes.com/eagle/index.html)
23:01:09	16609/16609	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Jun%202019%2008:42:31%20GMT	http://zoyothemes.com/eagle/css/style.css	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/css/style.css	(from http://zoyothemes.com/eagle/index.html)
23:01:10	7993/7993	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/about.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/about.html	(from http://zoyothemes.com/eagle/index.html)
23:01:10	10495/10495	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/services.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/services.html	(from http://zoyothemes.com/eagle/index.html)
23:01:10	14756/14756	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/work.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/work.html	(from http://zoyothemes.com/eagle/index.html)
23:01:10	18057/18057	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/blog.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/blog.html	(from http://zoyothemes.com/eagle/index.html)
23:01:11	9191/9191	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/contact.html	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/contact.html	(from http://zoyothemes.com/eagle/index.html)
23:01:13	51805/51805	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-ca5d%22	http://zoyothemes.com/eagle/images/works/img1.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img1.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:14	22749/22749	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-58dd%22	http://zoyothemes.com/eagle/images/works/img2.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img2.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:17	29881/29881	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-74b9%22	http://zoyothemes.com/eagle/images/works/img5.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img5.jpg	(from http://zoyothemes.com/eagle/index.html)
